model,params [K],accuracy,token_sequence,model_info
model_0001,18.78,0.51,"[295, 23, 53, 126, 369, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0002,8.51,0.7,"[31, 236, 319, 336, 374, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Dense"", 28, ""relu""], ""5"": [2, ""softmax""]}"
model_0003,7.952,0.51,"[185, 43, 28, 94, 267, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0004,7.288,0.51,"[241, 25, 360, 142, 26, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0005,59.696,0.76,"[331, 2, 313, 381, 338, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""dropout"", 0.2], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0006,2.306,0.83,"[29, 32, 312, 72, 319, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0007,4.792,0.81,"[309, 203, 68, 63, 95, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0008,127.546,0.51,"[25, 217, 306, 361, 377, 382]","{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Dense"", 4, ""sigmoid""], ""4"": [""Dense"", 36, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0009,3.21,0.76,"[143, 44, 54, 359, 17, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0010,3.608,0.73,"[250, 142, 35, 296, 119, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0011,20.274,0.85,"[77, 166, 166, 122, 125, 382]","{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
